,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Return_5y_Log,Return_1y_Log,Return_1m_Log,USD_1M_Libor,Equity_Weight,Cash_Weight,Portfolio
142,20.2,1993-11-30,2255.2900390625,0.11136095294980053,0.46596852656536614,2.090044336043563,d)18.8to20.4,e)Below18.8,13.927999999999999,16.396,18.508,21.018,2,2.0,4.0,2.0,0.04950495049504951,0.05640157924421884,0.040772538701287664,0.10180197876497772,0.10558534803595335,0.38251613431542225,1.1281854390408819,0.0356,0.8869950512085308,0.11300494879146916,1.8578819590540363
143,19.92,1993-12-31,2192.60009765625,0.10609387838275897,0.3929760636598323,-0.28700853968618834,d)18.8to20.4,e)Below18.8,13.932,16.476000000000003,18.532,21.012,2,2.0,4.0,2.0,0.0502008032128514,0.05635394277526257,0.040808787701911146,0.10178647120245639,0.10083478049502465,0.3314425113476882,-0.33828583575904614,0.0325,0.8990919429998329,0.10090805700016714,-0.2547675537514943
144,20.87,1994-01-31,2103.239990234375,0.10274211834821978,0.2519136473273751,-0.3930501353229705,c)20.4to22.7,e)Below18.8,13.936,16.588,18.567999999999998,21.006,2,2.0,4.0,2.0,0.0479156684235745,0.0563063063063063,0.04084503670253463,0.10177096363993507,0.0977999127075627,0.22467329851599724,-0.4993090865940631,0.0313,0.8622813257916794,0.13771867420832062,-0.33460919728616956
145,20.22,1994-02-28,2142.8798828125,0.10177439592275217,0.2779274865172958,0.25114592162013083,d)18.8to20.4,e)Below18.8,13.94,16.7,18.61,21.0,2,2.0,3.0,2.0,0.04945598417408507,0.05607051775393483,0.04088128570315811,0.10175545607741375,0.09692196737908627,0.2452396145312564,0.22405986866331384,0.0356,0.8913408833470177,0.10865911665298233,0.22772489217873446
146,19.98,1994-03-31,2252.510009765625,0.10390949363378565,0.38460076997125614,0.8198132472343158,d)18.8to20.4,e)Below18.8,13.954,16.728,18.658,20.994,2,2.0,3.0,2.0,0.050050050050050046,0.05583472920156337,0.040917534703781594,0.10173994851489242,0.09885796409014691,0.32541184535816386,0.5987338844140765,0.0369,0.904892312076299,0.09510768792370095,0.7453521784450232
147,20.35,1994-04-30,2137.340087890625,0.0872084450256656,0.31349987967085635,-0.46729984595534557,d)18.8to20.4,e)Below18.8,13.968,16.756,18.69,20.988,2,2.0,3.0,2.0,0.04914004914004914,0.05560285740255356,0.040953783704405076,0.1017244409523711,0.08361335150827982,0.27269523853390354,-0.6297965758821005,0.04,0.8936524869867072,0.10634751301329282,-0.41334976898596804
148,20.52,1994-05-31,2020.8499755859375,0.06467677552860174,0.18808528967844818,-0.4895827963619206,c)20.4to22.7,e)Below18.8,13.982,16.786,18.69,20.982,2,2.0,4.0,2.0,0.04873294346978558,0.05537098560354375,0.04099003270502856,0.10170893338984978,0.06267125594056347,0.17234301102211003,-0.672526841332138,0.0438,0.890675851194757,0.109324148805243,-0.4312711761622934
149,20.05,1994-06-30,2152.18994140625,0.06803080339442724,0.18053064600572544,1.1289148266518287,d)18.8to20.4,d)18.8to20.4,13.996,16.818,18.706,20.976,2,2.0,3.0,2.0,0.04987531172069825,0.055325072680157725,0.04102628170565204,0.10169342582732845,0.06581658225169039,0.16596403739768234,0.7556123788413797,0.045599999999999995,0.9101694823720526,0.08983051762794736,1.0316000950196649
150,20.63,1994-07-31,2207.090087890625,0.06715675036694435,0.14245713103930946,0.35292448356795525,c)20.4to22.7,d)18.8to20.4,14.01,16.85,18.73,20.97,2,2.0,3.0,2.0,0.048473097430925836,0.055279159756771695,0.041062530706275524,0.10167791826480713,0.06499786909015509,0.13318132101600244,0.3022685335644361,0.045,0.8877172513452336,0.1122827486547664,0.3183498761748458
151,21.36,1994-08-31,2002.300048828125,0.04976115939664316,0.04819842076647851,-0.6891798459321583,c)20.4to22.7,c)20.4to22.7,14.018,16.87,18.742,20.994,1,2.0,2.0,2.0,0.04681647940074907,0.05523339886293331,0.041098779706899013,0.10166241070228581,0.048562671053543026,0.04707290077010061,-1.1685408168129148,0.048799999999999996,0.86102353303709,0.13897646696291,-0.5866180142546743
152,19.69,1994-09-30,2061.580078125,0.07073062633271321,-0.0016464577748488418,0.41922943595721174,d)18.8to20.4,c)20.4to22.7,14.026,16.89,18.754,20.988,2,2.0,2.0,1.0,0.05078720162519045,0.05518763796909492,0.041135028707522496,0.10164690313976449,0.0683412438009379,-0.001647814676042566,0.35011407359061525,0.050499999999999996,0.9272797878897001,0.07272021211029989,0.39241535316309206
153,19.84,1994-10-31,2057.280029296875,0.05738678320942103,0.0021238565495982353,-0.024744478980801343,d)18.8to20.4,d)18.8to20.4,14.034,16.918,18.766,20.982,2,2.0,2.0,2.0,0.05040322580645162,0.05512685863212455,0.04117127770814598,0.10163139557724317,0.05580056541200628,0.0021216043546055663,-0.025055769479174178,0.0506,0.9218719216542033,0.07812807834579671,-0.018857959624066063
154,20.14,1994-11-30,2097.510009765625,0.03359070543955167,-0.06995997258182474,0.26161714248697465,d)18.8to20.4,c)20.4to22.7,14.042,16.953999999999997,18.778,20.976,2,2.0,2.0,2.0,0.04965243296921549,0.05506607929515418,0.04120752670876946,0.10161588801472184,0.03303886159047391,-0.07252765352644269,0.2323943444683011,0.060599999999999994,0.9103824998907021,0.08961750010929792,0.24360248869817744
155,19.86,1994-12-31,2024.8199462890625,0.021422166895306516,-0.07652109089410963,-0.3450797488308678,d)18.8to20.4,b)22.7to29.5,14.05,16.99,18.79,20.97,2,1.0,2.0,2.0,0.050352467270896276,0.0549754106684333,0.041243775709392944,0.10160038045220052,0.02119593745851818,-0.07960731760483507,-0.423241804699754,0.06,0.923406172079487,0.07659382792051295,-0.3140531402548317
156,20.34,1995-01-31,2097.85009765625,0.03034115376170554,-0.0025626617043946753,0.5298769592092558,d)18.8to20.4,b)22.7to29.5,14.066,16.994,18.838,20.95,2,1.0,2.0,2.0,0.049164208456243856,0.054884742041712405,0.041280024710016426,0.1015848728896792,0.02988996464559627,-0.0025659509425717793,0.4251873133530978,0.060899999999999996,0.9051397398692441,0.09486026013075588,0.4853896828633349
157,20.72,1995-02-28,1914.68994140625,-0.005350979272346401,-0.10648750927968664,-0.6658911026892919,c)20.4to22.7,b)22.7to29.5,14.082,16.998,18.886,20.93,2,1.0,2.0,2.0,0.04826254826254826,0.054824627318775146,0.04131627371063991,0.10156936532715788,-0.005365347039268831,-0.11259496493888611,-1.0962882992924596,0.0613,0.8910914132341728,0.10890858676582715,-0.5866937473867175
158,18.57,1995-03-31,2017.949951171875,0.021661028901705626,-0.10413274861236066,0.8782059826188062,e)Below18.8,b)22.7to29.5,14.098,17.006,18.854,20.91,3,1.0,2.0,2.0,0.05385029617662897,0.054764512595837894,0.04135252271126339,0.10155385776463655,0.021429762500962648,-0.10996303391696743,0.6303170566770984,0.0613,0.9848140175230599,0.01518598247694014,0.8658004626814495
159,19.34,1995-04-30,2099.949951171875,0.027151771054588103,-0.01749377037870048,0.6128078964468875,d)18.8to20.4,b)22.7to29.5,14.114,17.018,18.902,20.89,2,1.0,2.0,3.0,0.05170630816959669,0.05470466066950365,0.041388771711886874,0.10153835020211523,0.026789700996329765,-0.017648594677346814,0.47797669499334783,0.060599999999999994,0.9501517288206092,0.049848271179390835,0.585281287477402
160,20.59,1995-05-31,2089.0400390625,0.020803821553101676,0.03374325867846317,-0.060592904272612214,c)20.4to22.7,b)22.7to29.5,14.13,17.03,18.95,20.87,2,1.0,2.0,2.0,0.04856726566294318,0.0546448087431694,0.041425020712510356,0.10152284263959391,0.02059037728584562,0.03318644610447717,-0.06250635195025016,0.060599999999999994,0.898872490127844,0.10112750987215602,-0.04833696764934837
161,20.94,1995-06-30,2222.510009765625,0.02938183415610296,0.03267372781857136,1.102633314862853,c)20.4to22.7,b)22.7to29.5,14.142000000000001,17.042,19.118,20.926000000000002,1,1.0,2.0,2.0,0.04775549188156638,0.0546448087431694,0.04142931969764034,0.10138741197006478,0.02895846105934064,0.03215129108747439,0.7431905186373474,0.0613,0.8850977974699253,0.11490220253007466,0.9829818234171676
162,21.71,1995-07-31,2234.22998046875,0.06614154974440645,0.012296685453407674,0.06514760376750606,c)20.4to22.7,b)22.7to29.5,14.154,17.054,19.252,20.958,1,1.0,2.0,1.0,0.046061722708429294,0.0546448087431694,0.04143361868277032,0.10125198130053573,0.06404610280494254,0.01222169534417452,0.06311338464483685,0.0588,0.8565141929814204,0.1434858070185796,0.06423681271829128
163,21.92,1995-08-31,2201.27001953125,0.10635972612935474,0.09937070661291503,-0.16334709719912488,c)20.4to22.7,c)20.4to22.7,14.166,17.112,19.318,20.982,1,2.0,1.0,1.0,0.04562043795620438,0.05457036077485445,0.0414379176679003,0.10111655063100658,0.10107509988281481,0.09473793120397234,-0.17834598649534109,0.0588,0.8500313701189675,0.14996862988103254,-0.13003200140012358
164,21.44,1995-09-30,2165.760009765625,0.08588030325176232,0.050534021329589285,-0.17729499515050906,c)20.4to22.7,e)Below18.8,14.178,17.216,19.363999999999997,21.006,1,3.0,2.0,1.0,0.046641791044776115,0.0544959128065395,0.04144221665303029,0.10098111996147745,0.0823909974370747,0.049298626622952736,-0.1951575813816202,0.0588,0.8680842050268488,0.1319157949731512,-0.1461503361760474
165,21.09,1995-10-31,2254.949951171875,0.09436457446510849,0.0960831384449683,0.6230015016724495,c)20.4to22.7,e)Below18.8,14.19,17.32,19.4,21.03,1,3.0,2.0,1.0,0.0474158368895211,0.054436645908435596,0.041446515638160264,0.1008456892919484,0.09017389753868639,0.09174304189429333,0.48427721377691185,0.0583,0.8818029176662334,0.11819708233376658,0.5562554317852694
166,21.68,1995-11-30,2260.68994140625,0.10226462252855151,0.07779697397432628,0.030977383947698778,c)20.4to22.7,e)Below18.8,14.254000000000001,17.368000000000002,19.4,21.054,1,2.0,2.0,1.0,0.046125461254612546,0.0543773790103317,0.04145081462329025,0.10071025862241927,0.09736681124054195,0.07491911891851956,0.030507268759014813,0.059800000000000006,0.8607493219841813,0.1392506780158187,0.03499095277517134
167,21.6,1995-12-31,2463.0,0.11625723098057272,0.2164044534004126,1.7969256271063196,c)20.4to22.7,e)Below18.8,14.318,17.416,19.401999999999997,21.078,1,3.0,2.0,1.0,0.046296296296296294,0.054333097757065955,0.04145511360842023,0.10057482795289022,0.10998133110971572,0.19589933794591663,1.028520823629013,0.056900000000000006,0.8640588583709654,0.1359411416290346,1.5603845568937096
168,23.83,1996-01-31,2485.179931640625,0.09698132137503701,0.18463179729433765,0.11357920711637326,b)22.7to29.5,e)Below18.8,14.382,17.462,19.408,21.154,1,3.0,2.0,1.0,0.04196391103650861,0.054288816503800214,0.04145941259355022,0.10043939728336107,0.09256215414269636,0.16943200672092554,0.10757933865320032,0.054400000000000004,0.7910324064661751,0.20896759353382488,0.10121267061802494
169,24.07,1996-02-29,2489.35009765625,0.1043743922975735,0.30013222706332243,0.020323046190255267,b)22.7to29.5,d)18.8to20.4,14.446000000000002,17.506,19.433999999999997,21.272000000000002,1,2.0,2.0,1.0,0.04154549231408392,0.054171435278927135,0.041463711578680194,0.10030396661383194,0.09927901382348768,0.26246597242069447,0.020119289104767245,0.053099999999999994,0.7854199823352167,0.2145800176647833,0.027356325517748078
170,23.57,1996-03-31,2492.6298828125,0.09178069600184369,0.235228793144729,0.015925392596273902,b)22.7to29.5,d)18.8to20.4,14.51,17.55,19.47,21.36,1,2.0,3.0,1.0,0.04242681374628765,0.05405405405405406,0.04146801056381018,0.10016853594430289,0.08781002931696341,0.21125621052893712,0.01579991397601092,0.054400000000000004,0.8019227216042881,0.19807727839571188,0.023546338118147474
171,23.33,1996-04-30,2523.81005859375,0.08122429648170781,0.2018429568692055,0.16087761218404983,b)22.7to29.5,d)18.8to20.4,14.522,17.606,19.488,21.424000000000003,1,2.0,2.0,1.0,0.042863266180882986,0.05399574331613167,0.04147230954894016,0.10003310527477376,0.07809400694135359,0.18385617605423857,0.14917628129696708,0.054400000000000004,0.8098988069190856,0.19010119308091444,0.14063609107145505
172,24.96,1996-05-31,2570.43994140625,0.09622254683026843,0.2304407255687584,0.24568871226518496,b)22.7to29.5,d)18.8to20.4,14.534,17.662,19.53,21.482,1,2.0,2.0,1.0,0.04006410256410256,0.05393743257820928,0.041135028707522496,0.09989767460524471,0.09187022159046834,0.20737241867592016,0.21968855950992885,0.054400000000000004,0.763909030947082,0.23609096905291804,0.20052717481761265
173,25.73,1996-06-30,2491.5,0.09000188610287174,0.12102982171168786,-0.3122332655682022,b)22.7to29.5,d)18.8to20.4,14.546,17.694000000000003,19.619999999999997,21.546000000000003,1,2.0,1.0,1.0,0.0388651379712398,0.05389386437741912,0.04058502241788475,0.09976224393571556,0.08617942660916235,0.11424774651198961,-0.37430554732982124,0.055,0.7460386611485132,0.25396133885148675,-0.21897021377369796
174,24.59,1996-07-31,2534.489990234375,0.08965155814941861,0.13439082475414166,0.22788096298219185,b)22.7to29.5,e)Below18.8,14.558,17.702,19.666,21.616000000000003,1,3.0,1.0,1.0,0.040666937779585195,0.05385029617662897,0.04057828155673103,0.09962681326618643,0.08585797371269974,0.126095788570264,0.20528988934412964,0.0546,0.7767368973387575,0.2232631026612425,0.1891937175546598
175,25.28,1996-08-31,2655.489990234375,0.10588125417485794,0.20634450416030692,0.7500443717549843,b)22.7to29.5,e)Below18.8,14.57,17.71,19.69,21.68,1,2.0,1.0,1.0,0.03955696202531645,0.053792423746562734,0.04036734405277544,0.09949138259665738,0.10064253221390583,0.18759471602008768,0.5596411429025452,0.054400000000000004,0.7592271760887798,0.24077282391122024,0.58255211192959
176,25.94,1996-09-30,2671.39990234375,0.11078244540351356,0.23346995525734382,0.07431303375204545,b)22.7to29.5,e)Below18.8,14.576,17.718,19.78,21.704,1,3.0,1.0,1.0,0.03855050115651503,0.05373455131649651,0.040348616209742505,0.09935595192712825,0.10506467276379472,0.20983129938000503,0.0716814189373868,0.054299999999999994,0.7426752118972948,0.2573247881027052,0.06916318408250807
177,26.09,1996-10-31,2848.840087890625,0.12640626382680975,0.26337175971915094,1.1634656007720015,b)22.7to29.5,e)Below18.8,14.582,17.726,19.844,21.758,1,3.0,1.0,1.0,0.038328861632809505,0.05361954960153343,0.04028380893300248,0.0992205212575992,0.11903226733196892,0.23378414662788352,0.7717113807514542,0.0538,0.7405575003147489,0.2594424996852511,0.8755711834929775
178,27.43,1996-11-30,2880.070068359375,0.1279762416768475,0.2739783619189471,0.13977671696655825,b)22.7to29.5,e)Below18.8,14.588,17.736,19.855999999999998,21.838,1,3.0,1.0,1.0,0.03645643456069996,0.05350454788657035,0.04001338851022395,0.09908509058807005,0.1204250905108326,0.24214457264070197,0.1308323809128403,0.0556,0.7113996596305288,0.28860034036947124,0.1154832877988249
179,27.36,1996-12-31,3037.699951171875,0.12500102980892613,0.23333331350867836,0.8954042320214777,b)22.7to29.5,e)Below18.8,14.594,17.748,19.884,21.912,1,3.0,1.0,1.0,0.03654970760233918,0.05350454788657035,0.03954606907747313,0.09894965991854092,0.1177839510416766,0.20972051490802437,0.6394321308368809,0.055,0.7145822324176792,0.28541776758232085,0.6555379322511727
180,29.04,1997-01-31,3261.0400390625,0.13298609040633846,0.31219474193551866,1.3427992850889892,b)22.7to29.5,e)Below18.8,14.6,17.76,19.92,21.92,1,2.0,1.0,1.0,0.03443526170798898,0.05350454788657035,0.03933910306845004,0.09881422924901187,0.12485670518881299,0.2717011108603456,0.8513464900810572,0.054400000000000004,0.6793737583559132,0.3206262416440868,0.9297046645739782
181,31.3,1997-02-28,3407.830078125,0.14676191747236955,0.3689637634069667,0.696139654761379,a)Above29.5,d)18.8to20.4,14.602,17.82,19.956,21.96,1,2.0,1.0,1.0,0.03194888178913738,0.05344741542753504,0.03920725307580588,0.09880935194253364,0.1369422468303913,0.31405407656736223,0.528354877588966,0.054400000000000004,0.6392990507520702,0.36070094924792984,0.4646635521189108
182,30.68,1997-03-31,3438.090087890625,0.1474933589431644,0.379302282941155,0.11191565827879746,a)Above29.5,e)Below18.8,14.604,17.88,19.984,22.233999999999998,1,2.0,1.0,1.0,0.03259452411994785,0.05339028296849973,0.0388986555343667,0.0988044746360554,0.13757987552245166,0.32157777924271835,0.1060843460802862,0.056900000000000006,0.6528591185231676,0.3471408814768324,0.09281747416886751
183,31.96,1997-04-30,3562.72998046875,0.1455016546315464,0.4116474289883285,0.5331613889208398,a)Above29.5,e)Below18.8,14.606,17.94,19.996,22.442,1,2.0,1.0,1.0,0.03128911138923655,0.05336180815091653,0.038711782301101824,0.09879959732957716,0.135842667372654,0.34475741170786456,0.4273318708787202,0.056900000000000006,0.6326593544594717,0.36734064554052825,0.35821122286862994
184,34.01,1997-05-31,3766.889892578125,0.16504751550834507,0.4654650481805518,0.9516422400682032,a)Above29.5,d)18.8to20.4,14.607999999999999,18.0,20.02,22.61000000000001,1,2.0,1.0,1.0,0.02940311673037342,0.05333333333333334,0.038577344832368694,0.09879472002309893,0.15276187203001698,0.3821726311270148,0.6686711925397314,0.056900000000000006,0.6026027948384622,0.39739720516153776,0.5960741745251256
185,33.94,1997-06-30,4405.52001953125,0.22325151779928065,0.7682199556617499,5.5489404198822,a)Above29.5,e)Below18.8,14.61,18.06,20.05,23.09,1,3.0,1.0,1.0,0.029463759575721865,0.053304919197300654,0.038384271513735885,0.0987898427166207,0.2015124919787076,0.5699733657881997,1.8793032686043973,0.060599999999999994,0.6053152193279782,0.39468478067202184,3.382775985007602
186,41.35,1997-07-31,3919.7900390625,0.20702420592934057,0.5465794120970351,-0.753856988271912,a)Above29.5,e)Below18.8,14.644,18.072,20.056,23.282,1,4.0,1.0,1.0,0.02418379685610641,0.05327650506126798,0.03719616216091481,0.09878496541014246,0.18815799653678916,0.436045661386257,-1.4018425634791807,0.056299999999999996,0.5276299153364958,0.47237008466350416,-0.3711630631311794
187,36.07,1997-08-31,4154.89013671875,0.2309576913966942,0.5646416111521615,1.011689165446446,a)Above29.5,e)Below18.8,14.677999999999999,18.084,20.066,23.336,1,3.0,1.0,1.0,0.02772387025228722,0.05324815141301824,0.03660606177705644,0.09878008810366423,0.2077924773157357,0.44765679530836694,0.6989747499678634,0.056600000000000004,0.5894703517084636,0.4105296482915364,0.6195967462686595
188,37.55,1997-09-30,3753.659912109375,0.20301871588543485,0.40512841556073487,-0.7043727041705297,a)Above29.5,e)Below18.8,14.712,18.096,20.084,23.355999999999998,1,4.0,1.0,1.0,0.026631158455392812,0.0532197977647685,0.03649374377735565,0.09877521079718599,0.18483399454852562,0.3401286975846892,-1.218655753746745,0.056600000000000004,0.5730890651482262,0.4269109348517738,-0.37950513563640653
189,34.1,1997-10-31,3972.080078125,0.20784486289763482,0.39427976144005283,0.9713188633900327,a)Above29.5,e)Below18.8,14.746,18.108,20.11,23.396,1,4.0,1.0,1.0,0.029325513196480937,0.053106984202998975,0.035344789491708925,0.09877033349070775,0.18883766651184486,0.3323779819015951,0.6787027925543265,0.0565,0.625049002230183,0.374950997769817,0.62830661778329
190,35.98,1997-11-30,4224.2998046875,0.22387029937884084,0.4667350808912307,1.0933452089447275,a)Above29.5,e)Below18.8,14.78,18.12,20.14,23.46,1,4.0,1.0,1.0,0.027793218454697056,0.05299417064122946,0.03351489291396842,0.09876545618422952,0.2020182139157232,0.38303889723041484,0.7387633648586738,0.059699999999999996,0.6137818445773002,0.38621815542269977,0.6941326629845838
191,35.87,1997-12-31,4442.52978515625,0.23061701231266873,0.46246497566108324,0.8302372127861628,a)Above29.5,e)Below18.8,14.783999999999999,18.136,20.164,23.468,1,4.0,1.0,1.0,0.027878449958182328,0.05288230959502106,0.03230398507108314,0.09876057887775129,0.20751567963359568,0.3801233515711842,0.6044455829261165,0.0572,0.6237565273119687,0.37624347268803127,0.5393870073304203
192,38.05,1998-01-31,4693.85986328125,0.2281265848812868,0.4393751094913463,0.9355181785511875,a)Above29.5,e)Below18.8,14.788,18.152,20.184,23.53,1,4.0,1.0,1.0,0.02628120893561104,0.052770448548812667,0.03168497362917705,0.09875570157127304,0.2054899065632359,0.36420906766148275,0.6603750831646383,0.055999999999999994,0.6050551346919849,0.3949448653080151,0.588156989987338
193,42.29,1998-02-28,5097.25,0.24901847870681193,0.49574652583749845,1.689489053951584,a)Above29.5,e)Below18.8,14.792,18.172,20.195999999999998,23.59,1,3.0,1.0,1.0,0.023646252069047056,0.052386264316008,0.03065023825450641,0.09875082426479481,0.2223580258352892,0.40262543059601935,0.9893512328034075,0.056900000000000006,0.5779770200124416,0.42202297998755844,1.0004989563078677
194,44.86,1998-03-31,5241.22998046875,0.2636250046616695,0.5244597571567438,0.39690664855437086,a)Above29.5,e)Below18.8,14.796000000000001,18.196,20.208,23.634000000000004,1,3.0,1.0,1.0,0.02229157378510923,0.052002080083203325,0.02944556672211733,0.09874594695831658,0.23398457818120874,0.42164008969319183,0.33426025524635633,0.056900000000000006,0.5712793177060416,0.42872068229395843,0.2511387662016588
195,44.1,1998-04-30,5556.990234375,0.2784366366507962,0.5597562163955698,1.0177948257015084,a)Above29.5,e)Below18.8,14.8,18.22,20.22,23.69,1,3.0,1.0,1.0,0.022675736961451247,0.05185419412640001,0.0293837158469003,0.09874106965183835,0.2456379538254269,0.44452953750847474,0.7020052446621161,0.056600000000000004,0.5793026180466629,0.42069738195333706,0.6134226789817897
196,48.48,1998-05-31,5841.830078125,0.2798895499184939,0.5508364313050707,0.8218450735089664,a)Above29.5,e)Below18.8,14.812000000000001,18.236,20.25,23.802,1,4.0,1.0,1.0,0.020627062706270627,0.05170630816959669,0.029036100548821216,0.09873619234536012,0.24677378508222833,0.4387944184816194,0.5998497642174677,0.056600000000000004,0.5541003654048362,0.4458996345951638,0.48062257485556903
197,50.75,1998-06-30,5861.18994140625,0.26309638676033376,0.33041954534799367,0.040501000358503125,a)Above29.5,e)Below18.8,14.824,18.252000000000002,20.284,23.932000000000002,1,3.0,1.0,1.0,0.019704433497536946,0.051626349961087004,0.02786566523265954,0.09873131503888187,0.2335661561811871,0.2854943401205898,0.03970232827204437,0.056600000000000004,0.5495431630015595,0.4504568369984405,0.04775290481585084
198,50.53,1998-07-31,4811.27978515625,0.20020682768695464,0.22743303524159386,-0.9063952678708475,a)Above29.5,e)Below18.8,14.836,18.268,20.326,24.028000000000002,1,3.0,1.0,1.0,0.019790223629527013,0.051546391752577324,0.027786283634456073,0.09872643773240364,0.18249389834809135,0.20492502542375834,-2.368674339841159,0.056600000000000004,0.5523527045176087,0.44764729548239135,-0.47531304064612157
199,50.2,1998-08-31,4430.91015625,0.1832634709943477,0.06643256751651005,-0.6277900513969061,a)Above29.5,e)Below18.8,14.848,18.284000000000002,20.344,24.07,1,2.0,1.0,1.0,0.0199203187250996,0.051546391752577324,0.0276692346624425,0.0987215604259254,0.16827627448004231,0.06431902909768386,-0.9882972059450312,0.0564,0.554890389756505,0.44510961024349505,-0.3232504842871524
