,CAPE,Date,Price,Return_5y,Return_1y,Return_1m,CAPE_Bucket_Full,CAPE_Bucket_Full_Lagged_5y,Perc_0.2_Roll,Perc_0.4_Roll,Perc_0.6_Roll,Perc_0.8_Roll,CAPE_Bucket_Roll,CAPE_Bucket_Roll_Lagged_5y,CAPE_Bucket_Roll_Lagged_1y,CAPE_Bucket_Roll_Lagged_1m,EP,Roll_Median,Roll_Perc_0.05,Roll_Perc_0.95,Value
52,23.46,1986-05-31,,,,,b)22.7to29.5,,10.218,13.018,14.254,17.66,1,,1.0,1.0,0.042625745950554135,0.07189072609633357,0.04056859123471961,0.106352796404013,7.13
53,23.09,1986-06-30,,,,,b)22.7to29.5,,10.262,13.056000000000001,14.445999999999998,18.312000000000005,1,,1.0,1.0,0.043308791684711995,0.07186490327805184,0.04058502241788475,0.10614770208911345,7.03
54,21.51,1986-07-31,,,,,c)20.4to22.7,,10.306,13.068,14.546,18.970000000000006,1,,1.0,1.0,0.04649000464900046,0.07183908045977011,0.040601453601049886,0.10594260777421392,6.56
55,24.78,1986-08-31,,,,,b)22.7to29.5,,10.35,13.08,14.6,20.09,1,,1.0,1.0,0.04035512510088781,0.07178754596876596,0.04036734405277544,0.1057375134593144,5.94
56,23.38,1986-09-30,,,,,b)22.7to29.5,,10.382,13.112,14.606,21.226000000000006,1,,1.0,1.0,0.0427715996578272,0.07173601147776183,0.04036815864956795,0.10553241914441486,6.13
57,23.62,1986-10-31,,,,,b)22.7to29.5,,10.414,13.144,14.648,21.786,1,,1.0,1.0,0.04233700254022015,0.07155679945765323,0.04036897324636046,0.10532732482951533,5.94
58,24.8,1986-11-30,,,,,b)22.7to29.5,,10.446,13.188,14.762,22.178,1,,1.0,1.0,0.04032258064516129,0.07137758743754462,0.04035187065531516,0.10512223051461578,6.38
59,24.14,1986-12-31,,,,,b)22.7to29.5,,10.478,13.244000000000002,15.052,22.61,1,,1.0,1.0,0.041425020712510356,0.07127598233087196,0.04035349787810148,0.10491713619971627,6.75
60,21.25,1987-01-31,,,,,c)20.4to22.7,e)Below18.8,10.51,13.3,15.43,22.49,2,5.0,1.0,1.0,0.047058823529411764,0.07117437722419928,0.04035512510088781,0.10471204188481674,6.2
61,20.06,1987-02-28,,,,,d)18.8to20.4,e)Below18.8,10.620000000000001,13.46,15.538,22.386,2,1.0,1.0,2.0,0.04985044865403789,0.07082327035980929,0.04035593969768032,0.10469020412842783,6.47
62,20.38,1987-03-31,,,,,d)18.8to20.4,e)Below18.8,10.73,13.62,15.632,22.282,2,1.0,1.0,2.0,0.04906771344455348,0.07047216349541931,0.04035675429447283,0.10466836637203893,6.58
63,20.51,1987-04-30,,,,,c)20.4to22.7,e)Below18.8,10.840000000000002,13.742,15.698,22.178,2,2.0,1.0,2.0,0.04875670404680643,0.06969507554509077,0.040357568891265336,0.10464652861565002,6.81
64,19.5,1987-05-31,,,,,d)18.8to20.4,e)Below18.8,10.950000000000001,13.826,15.952,22.074,2,5.0,1.0,2.0,0.05128205128205128,0.06891798759476224,0.04035838348805785,0.10462469085926111,7.25
65,21.03,1987-06-30,,,,,c)20.4to22.7,e)Below18.8,11.06,13.91,16.3,21.97,2,5.0,1.0,2.0,0.0475511174512601,0.06870556913984688,0.040359198084850355,0.1046028531028722,7.06
66,21.79,1987-07-31,,,,,c)20.4to22.7,e)Below18.8,11.268,13.914,16.714,21.934,2,5.0,1.0,2.0,0.04589261128958238,0.0684931506849315,0.04036001268164286,0.10458101534648329,6.75
67,22.41,1987-08-31,,,,,c)20.4to22.7,e)Below18.8,11.476,13.918,17.003999999999998,22.234,1,5.0,1.0,2.0,0.04462293618920125,0.06846971018161702,0.040360827278435374,0.10455917759009438,7.13
68,21.91,1987-09-30,,,,,c)20.4to22.7,e)Below18.8,11.684000000000001,13.924,17.046,22.146,2,3.0,1.0,1.0,0.045641259698767686,0.06844626967830253,0.04036164187522788,0.10453733983370547,7.75
69,17.0,1987-10-31,,,,,e)Below18.8,e)Below18.8,11.892000000000001,13.932,17.024,22.058,3,3.0,1.0,2.0,0.058823529411764705,0.06800691862293504,0.04036245647202039,0.10451550207731657,7.13
70,14.57,1987-11-30,,,,,e)Below18.8,e)Below18.8,12.1,13.94,17.0,21.97,3,2.0,1.0,3.0,0.06863417982155114,0.06844626967830253,0.0403632710688129,0.10449366432092766,8.19
71,14.13,1987-12-31,,,,,e)Below18.8,e)Below18.8,12.126,13.968,16.996,21.958,3,1.0,1.0,3.0,0.07077140835102619,0.06846971018161702,0.040364085665605405,0.10447182656453875,7.13
72,13.17,1988-01-31,1083.3399658203125,,,,e)Below18.8,e)Below18.8,12.152,13.936,16.991999999999997,21.945999999999998,4,1.0,2.0,3.0,0.07593014426727411,0.0684931506849315,0.04036490026239792,0.10444998880814985,6.81
73,15.45,1988-02-29,1062.3299560546875,,,-0.2327248372089672,e)Below18.8,e)Below18.8,12.178,13.954,16.851999999999997,21.934,3,1.0,2.0,4.0,0.06472491909385114,0.06846971018161702,0.040365714859190424,0.10442815105176094,6.81
